epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,218.513,0.72611,0.82797,0.88897,0.96825,0.97629,0.97758,0.83813,0.64025,0.73676,0.86947,0.0072775,0.0072775,0.0072775
57,222.22,0.74549,0.8253,0.85275,0.97453,0.96421,0.97709,0.77477,0.9072,0.75614,0.90818,0.007228,0.007228,0.007228
58,226.95,0.91146,0.80828,0.88425,0.98255,0.96783,0.97764,0.84732,0.60979,0.6917,0.86568,0.0071785,0.0071785,0.0071785
59,230.154,0.7205,0.72707,0.86573,0.98255,0.96783,0.97764,0.84732,0.60979,0.6917,0.86568,0.007129,0.007129,0.007129
60,233.461,0.84452,0.839,0.88171,0.98491,0.967,0.97832,0.76136,0.85869,0.75174,0.89833,0.0070795,0.0070795,0.0070795
61,238.54,0.75384,0.84097,0.88426,0.96518,0.97547,0.97758,0.85083,0.6241,0.71903,0.86563,0.00703,0.00703,0.00703
62,242.81,0.85797,0.82245,0.87163,0.9773,0.97615,0.97769,0.81412,0.7448,0.69674,0.88144,0.0069805,0.0069805,0.0069805
63,246.341,0.85443,0.76249,0.87559,0.9773,0.97615,0.97769,0.81412,0.7448,0.69674,0.88144,0.006931,0.006931,0.006931
64,250.344,0.82562,0.79993,0.88485,0.98358,0.97445,0.97785,0.86082,0.62738,0.69541,0.86808,0.0068815,0.0068815,0.0068815
65,254.575,0.83034,0.79708,0.88447,0.97212,0.98148,0.97709,0.81048,0.77892,0.70989,0.89198,0.006832,0.006832,0.006832
66,258.613,0.79596,0.72329,0.86068,0.98202,0.97549,0.97706,0.87096,0.62693,0.66943,0.86562,0.0067825,0.0067825,0.0067825
67,261.887,0.79305,0.74711,0.87396,0.98202,0.97549,0.97706,0.87096,0.62693,0.66943,0.86562,0.006733,0.006733,0.006733
68,265.474,0.82181,0.76104,0.8873,0.98061,0.97725,0.97701,0.82592,0.69279,0.69735,0.88207,0.0066835,0.0066835,0.0066835
69,269.722,0.84654,0.76574,0.87314,0.97836,0.97965,0.97701,0.86167,0.62016,0.67086,0.86709,0.006634,0.006634,0.006634
70,274.005,0.87867,0.74853,0.87132,0.98262,0.97861,0.977,0.84154,0.63175,0.65836,0.87372,0.0065845,0.0065845,0.0065845
71,278.187,0.81369,0.71813,0.88355,0.98262,0.97861,0.977,0.84154,0.63175,0.65836,0.87372,0.006535,0.006535,0.006535
72,284.264,0.77767,0.73441,0.86689,0.98173,0.98019,0.97704,0.84536,0.67749,0.6216,0.87045,0.0064855,0.0064855,0.0064855
73,289.946,0.79875,0.71303,0.85269,0.98584,0.98148,0.977,0.84872,0.61614,0.66915,0.86684,0.006436,0.006436,0.006436
74,295.737,0.77408,0.69295,0.85492,0.97985,0.98148,0.97704,0.85165,0.66117,0.63123,0.86647,0.0063865,0.0063865,0.0063865
